date,close,high,low,open,symbol,turnover,volume
2017-12-12,37.794008399999996,38.8037232,37.7173212,37.998507599999996,000002.SZ,1401462694.0,46763892.0
2017-12-13,38.2669128,38.471412,37.512822,37.794008399999996,000002.SZ,998153483.0,33495394.0
2017-12-14,38.4841932,38.8165044,38.151882,38.2669128,000002.SZ,1150698147.0,38206777.0
2017-12-15,37.2060732,38.4969744,37.193292,38.4969744,000002.SZ,1165712213.0,39622918.0
2017-12-18,36.375295200000004,37.3977912,35.838484799999996,37.2060732,000002.SZ,1207131428.0,42128694.0
2017-12-19,37.269979199999995,37.385009999999994,36.298608,36.6309192,000002.SZ,981540648.0,34008410.0
2017-12-20,36.554232,37.193292,36.4519824,37.1805108,000002.SZ,943187282.0,32902669.0
2017-12-21,37.9857264,38.5864428,36.5925756,36.7076064,000002.SZ,1756898868.0,59516386.0
2017-12-22,38.151882,38.599224,37.794008399999996,37.832352,000002.SZ,1023085434.0,34220642.0
2017-12-25,38.8165044,40.0434996,38.6886924,38.727036,000002.SZ,1561915069.0,50638257.0
2017-12-26,38.98266,39.366096,38.4969744,38.9698788,000002.SZ,850307970.0,27884561.0
2017-12-27,39.3533148,39.7367508,38.854848,39.046566,000002.SZ,1218292968.0,39548884.0
2017-12-28,39.238284,39.4172208,38.1774444,38.854848,000002.SZ,1117505169.0,36731618.0
2017-12-29,39.6984072,40.5291852,39.2894088,39.30219,000002.SZ,1204645832.0,38530740.0
2018-01-02,41.6155872,42.16517880000001,40.196874,40.196874,000002.SZ,2218502767.0,68343350.0
2018-01-03,41.32161959999999,43.174893600000004,41.19380759999999,41.538900000000005,000002.SZ,2130249691.0,64687020.0
2018-01-04,42.331334399999996,42.855363600000004,41.027651999999996,41.8712112,000002.SZ,1740602533.0,52908580.0
2018-01-05,44.42745119999999,45.858945600000006,41.922335999999994,42.15239759999999,000002.SZ,2916787872.0,84310196.0
2018-01-08,45.9995388,47.2393152,44.87479319999999,44.87479319999999,000002.SZ,2994515872.0,83078359.0
2018-01-09,45.8078208,46.1529132,44.670294000000005,45.539415600000005,000002.SZ,1700947894.0,47845909.0
2018-01-10,45.5905404,46.90700400000001,45.37326,45.501072,000002.SZ,1633034914.0,45369591.0
2018-01-11,44.925918,45.7311336,44.1462648,45.437166,000002.SZ,1411859649.0,40248381.0
2018-01-12,45.437166,46.80475439999999,44.84923080000001,44.86201200000001,000002.SZ,1927916472.0,53701333.0
2018-01-15,47.4054708,48.56856,45.51385319999999,45.8078208,000002.SZ,2784027859.0,75718609.0
2018-01-16,51.380424000000005,52.019484000000006,46.523568,46.651379999999996,000002.SZ,3763499499.0,97846478.0
2018-01-17,50.8308324,51.891672,48.951996,50.460177599999994,000002.SZ,3199234880.0,81219193.0
2018-01-18,50.8180512,51.942796799999996,49.71886799999999,50.613552,000002.SZ,2226747476.0,55884840.0
2018-01-19,50.3834904,52.51795080000001,50.16621,50.933082000000006,000002.SZ,2207882771.0,54875823.0
2018-01-22,50.524083600000004,50.92030080000001,49.2204012,49.84668,000002.SZ,1597213093.0,40652641.0
2018-01-23,52.377357599999996,53.054761199999994,51.11201880000001,51.12479999999999,000002.SZ,2653177560.0,64865750.0
2018-01-24,52.569075600000005,53.9877888,51.7127352,52.019484000000006,000002.SZ,2236496975.0,54262959.0
2018-01-25,51.380424000000005,52.5562944,49.591056,52.5562944,000002.SZ,2577574871.0,64806457.0
2018-01-26,51.17592479999999,51.968359199999995,50.000054399999996,51.12479999999999,000002.SZ,1640757701.0,41006237.0
2018-01-29,49.2970884,51.8405472,48.683590800000005,51.610485600000004,000002.SZ,2338982474.0,59786274.0
2018-01-30,46.4724432,48.56856,46.3574124,48.56856,000002.SZ,3355539693.0,90823442.0
2018-01-31,48.00618720000001,48.26181119999999,45.52663439999999,46.7919732,000002.SZ,3297773290.0,89814786.0
2018-02-01,47.9295,48.619684799999995,47.162628,47.9295,000002.SZ,2380069195.0,63542538.0
2018-02-02,47.77612560000001,48.44074799999999,45.75669599999999,46.651379999999996,000002.SZ,2208198825.0,59679368.0
